protein1,protein2,pred
PF3D7_1402300,PF3D7_1311500,0.882661292916127
PF3D7_1402300,PF3D7_0912900,0.787183384384991
PF3D7_1402300,PF3D7_1336900,0.514974023511014
PF3D7_1402300,PF3D7_1130400,0.786263863203305
PF3D7_1402300,PF3D7_1030500,0.706173825531429
PF3D7_1402300,PF3D7_0813200,0.502918662939904
PF3D7_1402300,PF3D7_1117100,0.475885693131408
PF3D7_1402300,PF3D7_0810800,0.426889102665268
PF3D7_1402300,PF3D7_1136500,0.477230451006844
PF3D7_1402300,PF3D7_1118200,0.414575384995572
PF3D7_1402300,PF3D7_1437200,0.430345355784329
PF3D7_1402300,PF3D7_1414000,0.384303187823446
PF3D7_1017900,PF3D7_1248900,0.834755897282578
PF3D7_1017900,PF3D7_1466300,0.748138301861058
PF3D7_1017900,PF3D7_1008400,0.593725652103901
PF3D7_1017900,PF3D7_0205900,0.948503853742428
PF3D7_1017900,PF3D7_1129200,0.950404232783442
PF3D7_1017900,PF3D7_1311500,0.838210560083642
PF3D7_1017900,PF3D7_0912900,0.743421259233027
PF3D7_1017900,PF3D7_1336900,0.599785137178872
PF3D7_1017900,PF3D7_1130400,0.754111425400484
PF3D7_1017900,PF3D7_1030500,0.684742035330526
PF3D7_1017900,PF3D7_0813200,0.518259720874196
PF3D7_1017900,PF3D7_0810800,0.41972839018682
PF3D7_1017900,PF3D7_0606900,0.389238795995054
PF3D7_1017900,PF3D7_1437200,0.510051884821088
PF3D7_1017900,PF3D7_1414000,0.31606952561881
PF3D7_1248900,PF3D7_1466300,0.828094197330483
PF3D7_1248900,PF3D7_1008400,0.808356703094573
PF3D7_1248900,PF3D7_0205900,0.944289583878818
PF3D7_1248900,PF3D7_1129200,0.919288267856509
PF3D7_1248900,PF3D7_1311500,0.862025842980239
PF3D7_1248900,PF3D7_0912900,0.823708926622682
PF3D7_1248900,PF3D7_1336900,0.523182563113515
PF3D7_1248900,PF3D7_1130400,0.883872011694153
PF3D7_1248900,PF3D7_1030500,0.585345614426564
PF3D7_1248900,PF3D7_0813200,0.45081289817458
PF3D7_1248900,PF3D7_1117100,0.407773213227827
PF3D7_1248900,PF3D7_1136500,0.472238212296868
PF3D7_1248900,PF3D7_0606900,0.427029847423582
PF3D7_1248900,PF3D7_1118200,0.448784952555064
PF3D7_1248900,PF3D7_1437200,0.527759439003467
PF3D7_1248900,PF3D7_1306400,0.347516366115594
PF3D7_1466300,PF3D7_1008400,0.841417117671229
PF3D7_1466300,PF3D7_0205900,0.77586359600567
PF3D7_1466300,PF3D7_1129200,0.693448525773793
PF3D7_1466300,PF3D7_1311500,0.56805701754441
PF3D7_1466300,PF3D7_0912900,0.880231877934093
PF3D7_1466300,PF3D7_1336900,0.64631458003479
PF3D7_1466300,PF3D7_1130400,0.67998293556084
PF3D7_1466300,PF3D7_1030500,0.66741271618454
PF3D7_1466300,PF3D7_0813200,0.455067660006734
PF3D7_1466300,PF3D7_1117100,0.658089603988937
PF3D7_1466300,PF3D7_0810800,0.469481338940713
PF3D7_1466300,PF3D7_1118200,0.432286183120593
PF3D7_1466300,PF3D7_1437200,0.705566578369471
PF3D7_1466300,PF3D7_1306400,0.400606234855051
PF3D7_1008400,PF3D7_0205900,0.733742566463077
PF3D7_1008400,PF3D7_1129200,0.654295608335463
PF3D7_1008400,PF3D7_1311500,0.649199098766039
PF3D7_1008400,PF3D7_0912900,0.697903691533281
PF3D7_1008400,PF3D7_1336900,0.762353331456372
PF3D7_1008400,PF3D7_1130400,0.701329792736713
PF3D7_1008400,PF3D7_1030500,0.59560539408491
PF3D7_1008400,PF3D7_0810800,0.425786350745605
PF3D7_1008400,PF3D7_1437200,0.590513654172949
PF3D7_1008400,PF3D7_1306400,0.347953996091045
PF3D7_0205900,PF3D7_1129200,0.911459021098577
PF3D7_0205900,PF3D7_1311500,0.883242013734003
PF3D7_0205900,PF3D7_0912900,0.79269731264838
PF3D7_0205900,PF3D7_1336900,0.668806869027365
PF3D7_0205900,PF3D7_1130400,0.694339993207901
PF3D7_0205900,PF3D7_1030500,0.742196336847301
PF3D7_0205900,PF3D7_0813200,0.535823931726261
PF3D7_0205900,PF3D7_1117100,0.505467196150963
PF3D7_0205900,PF3D7_0810800,0.470025560676568
PF3D7_0205900,PF3D7_1136500,0.483601063456547
PF3D7_0205900,PF3D7_0606900,0.419275493045591
PF3D7_0205900,PF3D7_1118200,0.472094144699259
PF3D7_0205900,PF3D7_1437200,0.482156278253139
PF3D7_0205900,PF3D7_1306400,0.40891993242997
PF3D7_1129200,PF3D7_1311500,0.77095844834837
PF3D7_1129200,PF3D7_0912900,0.824763760185852
PF3D7_1129200,PF3D7_1336900,0.614149436649318
PF3D7_1129200,PF3D7_1130400,0.824737856161604
PF3D7_1129200,PF3D7_1030500,0.645755858781569
PF3D7_1129200,PF3D7_0813200,0.440407205137995
PF3D7_1129200,PF3D7_1117100,0.48804663499573
PF3D7_1129200,PF3D7_0810800,0.44041754509029
PF3D7_1129200,PF3D7_1136500,0.457479524374799
PF3D7_1129200,PF3D7_1118200,0.425885029772615
PF3D7_1129200,PF3D7_1437200,0.423685270012416
PF3D7_1129200,PF3D7_1414000,0.274909056851506
PF3D7_1129200,PF3D7_1306400,0.309215025322519
PF3D7_1311500,PF3D7_0912900,0.666029954301642
PF3D7_1311500,PF3D7_1130400,0.706617651032175
PF3D7_1311500,PF3D7_1030500,0.480714924848106
PF3D7_1311500,PF3D7_0813200,0.45134235215601
PF3D7_1311500,PF3D7_1117100,0.497834363742322
PF3D7_1311500,PF3D7_0810800,0.459022962523264
PF3D7_1311500,PF3D7_1136500,0.43146044776545
PF3D7_1311500,PF3D7_1118200,0.520811497929743
PF3D7_1311500,PF3D7_1437200,0.457324933158507
PF3D7_1311500,PF3D7_1306400,0.288330367714124
PF3D7_0912900,PF3D7_1336900,0.897083821952207
PF3D7_0912900,PF3D7_1130400,0.797939657453255
PF3D7_0912900,PF3D7_1030500,0.665829824255609
PF3D7_0912900,PF3D7_0813200,0.41763545591717
PF3D7_0912900,PF3D7_1117100,0.724416348068942
PF3D7_0912900,PF3D7_0810800,0.567250453105456
PF3D7_0912900,PF3D7_1136500,0.451686071886235
PF3D7_0912900,PF3D7_1118200,0.465502713761381
PF3D7_0912900,PF3D7_1437200,0.514200252285454
PF3D7_1336900,PF3D7_1130400,0.557897362395558
PF3D7_1336900,PF3D7_1030500,0.601734621399709
PF3D7_1336900,PF3D7_0813200,0.522076808832995
PF3D7_1336900,PF3D7_1117100,0.474655396259777
PF3D7_1336900,PF3D7_1118200,0.43203373366023
PF3D7_1336900,PF3D7_1437200,0.528957739679366
PF3D7_1130400,PF3D7_1030500,0.700318800784613
PF3D7_1130400,PF3D7_1117100,0.651910694038004
PF3D7_1130400,PF3D7_0810800,0.465324982696795
PF3D7_1130400,PF3D7_1136500,0.548270071556002
PF3D7_1130400,PF3D7_1118200,0.59694037118165
PF3D7_1130400,PF3D7_1437200,0.549738629091815
PF3D7_1130400,PF3D7_1414000,0.372217484043833
PF3D7_1130400,PF3D7_1306400,0.304366781937714
PF3D7_1030500,PF3D7_1117100,0.576122326041552
PF3D7_1030500,PF3D7_0810800,0.553757516459722
PF3D7_1030500,PF3D7_1136500,0.41137627679629
PF3D7_1030500,PF3D7_0606900,0.401339941881304
PF3D7_1030500,PF3D7_1118200,0.562992215064652
PF3D7_1030500,PF3D7_1437200,0.558435277846245
PF3D7_1030500,PF3D7_1414000,0.446197644615469
PF3D7_1030500,PF3D7_1306400,0.236050597887599
PF3D7_0813200,PF3D7_0606900,0.495779876302314
PF3D7_0813200,PF3D7_1118200,0.681115961746208
PF3D7_0813200,PF3D7_1306400,0.273524484757428
