Complex,Complex name,Complex short name,Subunit,Protein name,Protein,Evidence level,Citation,Comment
Alba,Alba,Alba,PF3D7_0814200,Alba 1,Alba1,NA,,
Alba,Alba,Alba,PF3D7_1346300,Alba 2,Alba2,NA,,
Alba,Alba,Alba,PF3D7_1006200,Alba 3,Alba3,NA,,
Alba,Alba,Alba,PF3D7_1347500,Alba 4,Alba4,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1441200,"60S ribosomal protein L1, putative",Rpl1,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1027800,60S ribosomal protein L3,Rpl3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0507100,60S ribosomal protein L4,Rpl4,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1424100,"60S ribosomal protein L5, putative",Rpl5,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1323100,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1338200,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0307200,"60S ribosomal protein L7, putative",Rpl7,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1424400,"60S ribosomal protein L7-3, putative",Rpl7-3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1354600,"60S ribosomal protein L7, putative",Rpl7,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0419800,"60S ribosomal protein L7ae/L30e, putative",Rpl7/L30e,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0516900,60S ribosomal protein L2,Rpl2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1414300,"60S ribosomal protein L10, putative",Rpl10,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0719600,"60S ribosomal protein L11a, putative",Rpl11a,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0517000,"60S ribosomal protein L12, putative",Rpl12,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0814000,"60S ribosomal protein L13-2, putative",Rpl13-2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1004000,"60S ribosomal protein L13, putative",Rpl13,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1431700,"60S ribosomal protein L14, putative",Rpl14,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0415900,"60S ribosomal protein L15, putative",Rpl15,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0614500,60S ribosomal protein L19,Rpl19,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1351400,"60S ribosomal protein L17, putative",Rpl17,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1341300,"60S ribosomal protein L18-2, putative",Rpl18-2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1341200,"60S ribosomal protein L18, putative",Rpl18,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1426000,60S ribosomal protein L21,Rpl21,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0821700,"60S ribosomal protein L22, putative",Rpl22,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1331800,"60S ribosomal protein L23, putative",Rpl23,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1323400,60S ribosomal protein L23,Rpl23,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0506100,"60S ribosomal subunit protein L24, putative",Rpl24,NA,,Could be part of mitochondrial or apicoplast ribosome
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1309100,"60S ribosomal protein L24, putative",Rpl24,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0406800,"ribosomal protein L25, putative",Rpl25,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0312800,"60S ribosomal protein L26, putative",Rpl26,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1460700,60S ribosomal protein L27,Rpl27,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0618300,"60S ribosomal protein L27a, putative",Rpl27a,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1142500,60S ribosomal protein L28,Rpl28,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1460300,"60S ribosomal protein L29, putative",Rpl29,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1019400,"60S ribosomal protein L30e, putative",Rpl30e,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0503800,60S ribosomal protein L31,Rpl31,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0903900,60S ribosomal protein L32,Rpl32,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0710600,60S ribosomal protein L34,Rpl34,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1124900,"60S ribosomal protein L35, putative",Rpl35,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1142600,"60S ribosomal protein L35ae, putative",Rpl35ae,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1109900,60S ribosomal protein L36,Rpl36,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0210100,"60S ribosomal protein L37ae, putative",Rpl37ae,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0706400,60S ribosomal protein L37,Rpl37,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1130100,60S ribosomal protein L38,Rpl38,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0611700,60S ribosomal protein L39,Rpl39,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1365900,ubiquitin-60S ribosomal protein L40,Rpl40,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0304400,60S ribosomal protein L44,Rpl44,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1357600,"ribosomal protein L44, putative",Rpl44,NA,,Could be part of mitochondrial or apicoplast ribosome
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1130200,60S ribosomal protein P0,Rpp0,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1103100,"60S acidic ribosomal protein P1, putative",Rpp1,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0309600,60S acidic ribosomal protein P2,Rpp2,NA,,
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1447000,40S ribosomal protein S5,Rps5,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1026800,40S ribosomal protein S2,Rps2,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1465900,40S ribosomal protein S3,Rps3,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0322900,"40S ribosomal protein S3A, putative",Rps3a,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1105400,"40S ribosomal protein S4, putative",Rps4,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0721600,"40S ribosomal protein S5, putative",Rps5,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1342000,40S ribosomal protein S6,Rps6,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1302800,"40S ribosomal protein S7, putative",Rps7,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1408600,"40S ribosomal protein S8e, putative",Rps8e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1413400,"30S ribosomal protein S9, putative",Rps9,NA,,Should be in apicoplast
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0520000,"40S ribosomal protein S9, putative",Rps9,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0719700,"40S ribosomal protein S10, putative",Rps10,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0317600,"40S ribosomal protein S11, putative",Rps11,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0307100,"40S ribosomal protein S12, putative",Rps12,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1358800,40S ribosomal protein S15,Rps15,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0516200,40S ribosomal protein S11,Rps11,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1317800,40S ribosomal protein S19,Rps19,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0316800,"40S ribosomal protein S15A, putative",Rps15a,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0813900,"40S ribosomal protein S16, putative",Rps16,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1242700,"40S ribosomal protein S17, putative",Rps17,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1126200,"40S ribosomal protein S18, putative",Rps18,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0422400,40S ribosomal protein S19,Rps19,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1003500,"40S ribosomal protein S20e, putative",Rps20e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1144000,40S ribosomal protein S21,Rps21,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0306900,"40S ribosomal protein S23, putative",Rps23,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0519400,40S ribosomal protein S24,Rps24,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0217800,40S ribosomal protein S26,Rps26,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1308300,40S ribosomal protein S27,Rps27,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1402500,"ribosomal protein S27a, putative",Rps27a,NA,,Could be part of apicoplast ribosome
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1461300,"40S ribosomal protein S28e, putative",Rps28e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0705700,"40S ribosomal protein S29, putative",Rps29,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_0219200,40S ribosomal protein S30,Rps30,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_40S,40S ribosome,40S ribosome,PF3D7_1402500,"ribosomal protein S27a, putative",Rps27a,NA,,Could be part of apicoplast ribosome
ribosome_full,Ribosome,Ribosome,PF3D7_1447000,40S ribosomal protein S5,Rps5,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1026800,40S ribosomal protein S2,Rps2,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1465900,40S ribosomal protein S3,Rps3,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0322900,"40S ribosomal protein S3A, putative",Rps3a,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1105400,"40S ribosomal protein S4, putative",Rps4,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0721600,"40S ribosomal protein S5, putative",Rps5,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1342000,40S ribosomal protein S6,Rps6,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1302800,"40S ribosomal protein S7, putative",Rps7,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1408600,"40S ribosomal protein S8e, putative",Rps8e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1413400,"30S ribosomal protein S9, putative",Rps9,NA,,Should be in apicoplast
ribosome_full,Ribosome,Ribosome,PF3D7_0520000,"40S ribosomal protein S9, putative",Rps9,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0719700,"40S ribosomal protein S10, putative",Rps10,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0317600,"40S ribosomal protein S11, putative",Rps11,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0307100,"40S ribosomal protein S12, putative",Rps12,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1358800,40S ribosomal protein S15,Rps15,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0516200,40S ribosomal protein S11,Rps11,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1317800,40S ribosomal protein S19,Rps19,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0316800,"40S ribosomal protein S15A, putative",Rps15a,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0813900,"40S ribosomal protein S16, putative",Rps16,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1242700,"40S ribosomal protein S17, putative",Rps17,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1126200,"40S ribosomal protein S18, putative",Rps18,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0422400,40S ribosomal protein S19,Rps19,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1003500,"40S ribosomal protein S20e, putative",Rps20e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1144000,40S ribosomal protein S21,Rps21,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0306900,"40S ribosomal protein S23, putative",Rps23,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0519400,40S ribosomal protein S24,Rps24,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0217800,40S ribosomal protein S26,Rps26,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1308300,40S ribosomal protein S27,Rps27,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1402500,"ribosomal protein S27a, putative",Rps27a,NA,,Could be part of apicoplast ribosome
ribosome_full,Ribosome,Ribosome,PF3D7_1461300,"40S ribosomal protein S28e, putative",Rps28e,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0705700,"40S ribosomal protein S29, putative",Rps29,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_0219200,40S ribosomal protein S30,Rps30,cryoEM,"Wong et al (2014), Sun et al (2015)",
ribosome_full,Ribosome,Ribosome,PF3D7_1402500,"ribosomal protein S27a, putative",Rps27a,NA,,Could be part of apicoplast ribosome
ribosome_full,Ribosome,Ribosome,PF3D7_1441200,"60S ribosomal protein L1, putative",Rpl1,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_1027800,60S ribosomal protein L3,Rpl3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0507100,60S ribosomal protein L4,Rpl4,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1424100,"60S ribosomal protein L5, putative",Rpl5,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1323100,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1338200,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0307200,"60S ribosomal protein L7, putative",Rpl7,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1424400,"60S ribosomal protein L7-3, putative",Rpl7-3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1354600,"60S ribosomal protein L7, putative",Rpl7,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_0419800,"60S ribosomal protein L7ae/L30e, putative",Rpl30e,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_0516900,60S ribosomal protein L2,Rpl2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1414300,"60S ribosomal protein L10, putative",Rpl10,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0719600,"60S ribosomal protein L11a, putative",Rpl11a,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0517000,"60S ribosomal protein L12, putative",Rpl12,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_0814000,"60S ribosomal protein L13-2, putative",Rpl13-2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1004000,"60S ribosomal protein L13, putative",Rpl13,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1431700,"60S ribosomal protein L14, putative",Rpl14,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0415900,"60S ribosomal protein L15, putative",Rpl15,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0614500,60S ribosomal protein L19,Rpl19,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1351400,"60S ribosomal protein L17, putative",Rpl17,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1341300,"60S ribosomal protein L18-2, putative",Rpl18-2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1341200,"60S ribosomal protein L18, putative",Rpl18,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1426000,60S ribosomal protein L21,Rpl21,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0821700,"60S ribosomal protein L22, putative",Rpl22,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1331800,"60S ribosomal protein L23, putative",Rpl23,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1323400,60S ribosomal protein L23,Rpl23,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0506100,"60S ribosomal subunit protein L24, putative",Rpl24,NA,,Could be part of mitochondrial or apicoplast ribosome
ribosome_full,Ribosome,Ribosome,PF3D7_1309100,"60S ribosomal protein L24, putative",Rpl24,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0406800,"ribosomal protein L25, putative",Rpl25,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_0312800,"60S ribosomal protein L26, putative",Rpl26,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1460700,60S ribosomal protein L27,Rpl27,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0618300,"60S ribosomal protein L27a, putative",Rpl27a,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1142500,60S ribosomal protein L28,Rpl28,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1460300,"60S ribosomal protein L29, putative",Rpl29,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1019400,"60S ribosomal protein L30e, putative",Rpl30e,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0503800,60S ribosomal protein L31,Rpl31,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0903900,60S ribosomal protein L32,Rpl32,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0710600,60S ribosomal protein L34,Rpl34,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1124900,"60S ribosomal protein L35, putative",Rpl35,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1142600,"60S ribosomal protein L35ae, putative",Rpl35ae,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1109900,60S ribosomal protein L36,Rpl36,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0210100,"60S ribosomal protein L37ae, putative",Rpl37ae,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0706400,60S ribosomal protein L37,Rpl37,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1130100,60S ribosomal protein L38,Rpl38,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0611700,60S ribosomal protein L39,Rpl39,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1365900,ubiquitin-60S ribosomal protein L40,Rpl40,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_0304400,60S ribosomal protein L44,Rpl44,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_full,Ribosome,Ribosome,PF3D7_1357600,"ribosomal protein L44, putative",Rpl44,NA,,Could be part of mitochondrial or apicoplast ribosome
ribosome_full,Ribosome,Ribosome,PF3D7_1130200,60S ribosomal protein P0,Rpp0,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_1103100,"60S acidic ribosomal protein P1, putative",Rpp1,NA,,
ribosome_full,Ribosome,Ribosome,PF3D7_0309600,60S acidic ribosomal protein P2,Rpp2,NA,,
proteasome,20S proteasome,20S proteasome,PF3D7_0608500,"proteasome subunit alpha type-2, putative",PSMA2,cryoEM,"Li et al (2015), Xie et al (2019), Xie et al (2021), Hsu et al (2023)",
proteasome,20S proteasome,20S proteasome,PF3D7_0317000,"proteasome subunit alpha type-3, putative",PSMA3,cryoEM,"Li et al (2015), Xie et al (2019), Xie et al (2021), Hsu et al (2023)",
